epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,465.414,0.64116,1.10002,1.12459,0.84144,0.48617,0.56784,0.28833,1.6557,1.95244,1.4209,2.64447e-05,2.64447e-05,2.64447e-05
70,471.15,0.97833,0.86461,1.43,0.84144,0.48617,0.56784,0.28833,1.6557,1.95244,1.4209,2.60207e-05,2.60207e-05,2.60207e-05
71,479.297,0.94749,1.28636,1.31534,0.84144,0.48617,0.56784,0.28833,1.6557,1.95244,1.4209,2.55731e-05,2.55731e-05,2.55731e-05
72,491.378,0.59499,0.63816,1.07504,0.84025,0.48529,0.54675,0.27606,1.7241,2,1.44486,2.5102e-05,2.5102e-05,2.5102e-05
73,501.066,0.68878,0.90641,1.04433,0.84025,0.48529,0.54675,0.27606,1.7241,2,1.44486,2.46073e-05,2.46073e-05,2.46073e-05
74,508.701,0.72129,0.59487,1.21718,0.84025,0.48529,0.54675,0.27606,1.7241,2,1.44486,2.40891e-05,2.40891e-05,2.40891e-05
75,519.201,0.72992,0.55225,1.1407,0.84007,0.48264,0.54724,0.26977,1.77162,1.99601,1.46323,2.35472e-05,2.35472e-05,2.35472e-05
76,529.695,0.63615,0.73269,1.12924,0.84007,0.48264,0.54724,0.26977,1.77162,1.99601,1.46323,2.29819e-05,2.29819e-05,2.29819e-05
77,534.563,0.68,0.6577,1.11162,0.84007,0.48264,0.54724,0.26977,1.77162,1.99601,1.46323,2.23929e-05,2.23929e-05,2.23929e-05
78,540.06,0.87557,1.00482,1.18596,0.83348,0.48822,0.54413,0.26803,1.73649,2.01298,1.44808,2.17805e-05,2.17805e-05,2.17805e-05
79,545.181,0.5889,0.7475,1.0841,0.83348,0.48822,0.54413,0.26803,1.73649,2.01298,1.44808,2.11444e-05,2.11444e-05,2.11444e-05
80,550.12,0.70242,0.73226,1.16331,0.83348,0.48822,0.54413,0.26803,1.73649,2.01298,1.44808,2.04848e-05,2.04848e-05,2.04848e-05
81,555.541,0.51133,0.50269,0.97378,0.84216,0.48023,0.53431,0.26591,1.76988,2.04896,1.47324,1.98016e-05,1.98016e-05,1.98016e-05
82,562.314,0.80794,0.66978,1.14379,0.84216,0.48023,0.53431,0.26591,1.76988,2.04896,1.47324,1.90949e-05,1.90949e-05,1.90949e-05
83,567.394,0.76656,0.82109,1.19673,0.84216,0.48023,0.53431,0.26591,1.76988,2.04896,1.47324,1.83646e-05,1.83646e-05,1.83646e-05
